13960KDAL DAL2007110121140314   0.147 N                 0.142 N      83     6    88    8    13L60+              
13960KDAL DAL2007110121150315   0.149 N                 0.141 N      81     6    75    5    13L60+              
13960KDAL DAL2007110121160316   0.152 N                 0.140 N      74     5    82    6    13L60+              
13960KDAL DAL2007110121170317   0.149 N                 0.141 N      74     5    74    7    13L60+              
13960KDAL DAL2007110121180318   0.150 N                 0.141 N      77     6    92    7    13L60+              
13960KDAL DAL2007110121190319   0.150 N                 0.139 N      76     5    71    4    13L60+              
13960KDAL DAL2007110121200320   0.151 N                 0.141 N      73     4    75    5    13L60+              
13960KDAL DAL2007110121210321   0.150 N                 0.140 N      80     4    96    5    13L60+              
13960KDAL DAL2007110121220322   0.150 N                 0.142 N      80     4    78    6    13L60+              
13960KDAL DAL2007110121230323   0.150 N                 0.138 N      77     5    92    6    13L60+              
13960KDAL DAL2007110121240324   0.149 N                 0.137 N      84     6    85    8    13L60+              
13960KDAL DAL2007110121250325   0.148 N                 0.135 N      85     7    94    8    13L60+              
13960KDAL DAL2007110121260326   0.148 N                 0.135 N      88     7    92    8    13L60+              
13960KDAL DAL2007110121270327   0.147 N                 0.136 N      90     7    95    8    13L60+              
13960KDAL DAL2007110121280328   0.148 N                 0.136 N      86     6    93    7    13L60+              
13960KDAL DAL2007110121290329   0.148 N                 0.138 N      86     6    83    7    13L60+              
13960KDAL DAL2007110121300330   0.149 N                 0.137 N      89     6    92    6    13L60+              
13960KDAL DAL2007110121310331   0.148 N                 0.137 N      90     5    92    6    13L60+              
13960KDAL DAL2007110121320332   0.147 N                 0.135 N      87     5    86    7    13L60+              
13960KDAL DAL2007110121330333   0.147 N                 0.134 N      91     6    83    8    13L60+              
13960KDAL DAL2007110121340334   0.145 N                 0.135 N      96     7    95    8    13L60+              
13960KDAL DAL2007110121350335   0.146 N                 0.135 N      97     8    91   10    13L60+              
13960KDAL DAL2007110121360336   0.145 N                 0.133 N      97     9    99   11    13L60+              
13960KDAL DAL2007110121370337   0.146 N                 0.132 N      94     8    93   10    13L60+              
13960KDAL DAL2007110121380338   0.146 N                 0.133 N      88     8    93    9    13L60+              
13960KDAL DAL2007110121390339   0.146 N                 0.135 N      86     8    86    9    13L60+              
13960KDAL DAL2007110121400340   0.144 N                 0.134 N      90     8    89    9    13L60+              
13960KDAL DAL2007110121410341   0.143 N                 0.136 N      92     8    91    8    13L60+              
13960KDAL DAL2007110121420342   0.146 N                 0.136 N      85     6    67    7    13L60+              
13960KDAL DAL2007110121430343   0.146 N                 0.136 N      78     6    92    6    13L60+              
13960KDAL DAL2007110121440344   0.148 N                 0.136 N      84     6    81    8    13L60+              
13960KDAL DAL2007110121450345   0.148 N                 0.136 N      89     6    96    6    13L60+              
13960KDAL DAL2007110121460346   0.147 N                 0.135 N      86     5    74    7    13L60+              
13960KDAL DAL2007110121470347   0.146 N                 0.135 N      82     5    83    6    13L60+              
13960KDAL DAL2007110121480348   0.145 N                 0.135 N      84     7    89   10    13L60+              
13960KDAL DAL2007110121490349   0.144 N                 0.134 N      86     7    76    7    13L60+              
13960KDAL DAL2007110121500350   0.144 N                 0.132 N      82     6    70    7    13L60+              
13960KDAL DAL2007110121510351   0.143 N                 0.132 N      86     6    94    7    13L60+              
13960KDAL DAL2007110121520352   0.144 N                 0.133 N      91     6    89    8    13L60+              
13960KDAL DAL2007110121530353   0.143 N                 0.132 N      91     7    98    9    13L60+              
13960KDAL DAL2007110121540354   0.142 N                 0.135 N      95     7    93    9    13L60+              
13960KDAL DAL2007110121550355   0.142 N                 0.133 N      95     7   107    7    13L60+              
13960KDAL DAL2007110121560356   0.143 N                 0.134 N      94     6    90    7    13L60+              
13960KDAL DAL2007110121570357   0.143 N                 0.132 N      92     6    81    7    13L60+              
13960KDAL DAL2007110121580358   0.144 N                 0.131 N      87     6    76    6    13L60+              
13960KDAL DAL2007110121590359   0.142 N                 0.130 N      88     5    72    6    13L60+              
13960KDAL DAL2007110122000400   0.142 N                 0.130 N      91     6    87    8    13L60+              
13960KDAL DAL2007110122010401   0.141 N                 0.132 N      92     6    90    7    13L60+              
13960KDAL DAL2007110122020402   0.141 N                 0.131 N      91     7    88    9    13L60+              
13960KDAL DAL2007110122030403   0.144 N                 0.132 N      90     7    80    8    13L60+              
13960KDAL DAL2007110122040404   0.140 N                 0.129 N      91     7    86    8    13L60+              
13960KDAL DAL2007110122050405   0.140 N                 0.128 N      92     7   103    8    13L60+              
13960KDAL DAL2007110122060406   0.140 N                 0.125 N      95     8    99    8    13L60+              
13960KDAL DAL2007110122070407   0.139 N                 0.126 N      97     8    99    9    13L60+              
13960KDAL DAL2007110122080408   0.139 N                 0.126 N      93     8    83   10    13L60+              
13960KDAL DAL2007110122090409   0.139 N                 0.125 N      90     8    90   10    13L60+              
13960KDAL DAL2007110122100410   0.138 N                 0.125 N      90     7    75    7    13L60+              
13960KDAL DAL2007110122110411   0.138 N                 0.125 N      93     7    90   10    13L60+              
13960KDAL DAL2007110122120412   0.138 N                 0.125 N      91     8    86    9    13L60+              
13960KDAL DAL2007110122130413   0.136 N                 0.125 N      88     8    82    9    13L60+              
13960KDAL DAL2007110122140414   0.137 N                 0.123 N      90     8    87   10    13L60+              
13960KDAL DAL2007110122150415   0.137 N                 0.124 N      88     8    84   10    13L60+              
13960KDAL DAL2007110122160416   0.137 N                 0.125 N      93     7   107    8    13L60+              
13960KDAL DAL2007110122170417   0.136 N                 0.126 N      97     7   105    8    13L60+              
